Año,Lote,Tipo de Hidrocarburo,Producción,Inversion,Regalia,Canon,Reservas Probadas (P1),Reservas Probables (P2),Reservas Posibles (P3),Reservas Totales (3P),Recursos Contingentes (2C),Recursos Prospectivos (2U)
2023,95,,,105.37009984,,,,,,,,
2024,95,,,157.35830297,,,,,,,,
2025,95,,,29.14237952,,,,,,,,
2021,Ajustes Periodos Anteriors,,,,,0.4386507600000002,,,,,,
2022,Ajustes Periodos Anteriors,,,,,7.230709800000001,,,,,,
2023,Ajustes Periodos Anteriors,,,,,-2.29144634,,,,,,
2024,Ajustes Periodos Anteriors,,,,,-0.48716478,,,,,,
2025,Ajustes Periodos Anteriors,,,,,0.02930862999999907,,,,,,
2021,I,,,-2.5040691,,3.41069356,,,,,,
2022,I,,,0.0,,3.871169189999999,,,,,,
2023,I,,,0.0,,3.32245598,,,,,,
2024,I,,,0.0,,3.39690066999999,,,,,,
2025,I,,,0.0,,1.165374209999999,,,,,,
2021,II,,,0.0,,1.95932834,,,,,,
2022,II,,,0.0,,3.0562119,,,,,,
2023,II,,,0.0,,2.389968549999999,,,,,,
2024,II,,,0.0,,2.338113219999999,,,,,,
2025,II,,,0.0,,0.61056118,,,,,,
2021,III,,,2.9940404,,2.45979325999999,,,,,,
2022,III,,,19.5579135,,3.89891311999999,,,,,,
2023,III,,,23.90146633,,9.08444027,,,,,,
2024,III,,,23.25749531,,8.91261538,,,,,,
2025,III,,,9.901562199999999,,3.39366516,,,,,,
2021,IV,,,9.87738173,,9.282866979999998,,,,,,
2022,IV,,,27.99481871,,15.56156968,,,,,,
2023,IV,,,18.12931091,,14.30200445,,,,,,
2024,IV,,,21.76863234,,14.0655320599999,,,,,,
2025,IV,,,8.295565609999999,,4.940168569999999,,,,,,
2021,IX,,,0.0359223,,0.7288033,,,,,,
2022,IX,,,0.08032268,,0.97541478,,,,,,
2023,IX,,,0.11836197,,0.856993039999999,,,,,,
2024,IX,,,0.29757085,,0.83930872,,,,,,
2025,IX,,,0.32968028,,0.24894467,,,,,,
2021,V,,,0.2389857,0.59132611,0.44209466,,,,,,
